PAIS,categoria,tasa_part,tasa_seg,tasa_reg,tasa_temp,variable_interes
Estados Unidos,Varon,0.062428227027804505,NA,NA,NA,SEXO
Francia,Mujer,0.11543676895530552,NA,NA,0.10041687341101385,SEXO
Francia,Varon,0.0340975902571329,NA,NA,0.0774363771228115,SEXO
Grecia,Mujer,0.10725765849447268,NA,NA,0.10105634090403987,SEXO
Grecia,Varon,0.06113064019536838,NA,NA,0.06505565979384109,SEXO
Guatemala,Mujer,0.015568464981885473,0.5439995848875757,0.5263701333606966,0.10413001973241225,SEXO
Guatemala,Varon,0.024802156147651095,0.5953389013541132,0.5830000536089985,0.1005224297456416,SEXO
Italia,Mujer,0.20870246733631453,NA,NA,0.1432540696188268,SEXO
Italia,Varon,0.06951871827216984,NA,NA,0.1307001953624018,SEXO
México,Mujer,0.018489213907307813,0.490947198994578,0.40944321715236537,0.5105707762501912,SEXO
México,Varon,0.019357380739869017,0.49097539023883624,0.4143218175804734,0.5161907854421155,SEXO
Noruega,Mujer,0.0558941842885463,NA,NA,0.04506593974588639,SEXO
Noruega,Varon,0.01982778847688383,NA,NA,0.0315611358718513,SEXO
Paraguay,Mujer,0.13424000025530924,0.5580835073985185,0.43561457255722735,0.14745148006278933,SEXO
Paraguay,Varon,0.059717673145644565,0.5625016154210979,0.429680582817266,0.15153859967227754,SEXO
Países Bajos,Mujer,0.044852567744000496,NA,NA,0.0601903201724842,SEXO
Países Bajos,Varon,0.024461738058261254,NA,NA,0.05669307279989393,SEXO
Peru,Mujer,0.07204586452414409,0.4372223478476581,0.41614768701523597,0.3307205486287722,SEXO
Peru,Varon,0.05552130824147542,0.3579786676291485,0.39540521202979856,0.3633148708698448,SEXO
Polonia,Mujer,0.016321846939103216,NA,NA,0.1298673509635194,SEXO
Polonia,Varon,0.006453360220287666,NA,NA,0.12433847483761559,SEXO
Portugal,Mujer,0.05107186983727324,NA,NA,0.18242447308265267,SEXO
Portugal,Varon,0.019446048623842475,NA,NA,0.1754992676375027,SEXO
Reino Unido,Mujer,0.037896696383317365,NA,NA,0.013381372501028216,SEXO
Reino Unido,Varon,0.026909314332775245,NA,NA,0.014672850846506661,SEXO
Rumanía,Mujer,0.00343525665223462,NA,NA,0.006873370334842604,SEXO
Rumanía,Varon,0.0032661455378928082,NA,NA,0.009283815218469315,SEXO
Suecia,Mujer,0.07131467533333118,NA,NA,0.09139629628160109,SEXO
Suecia,Varon,0.034453649359283904,NA,NA,0.06948869600903411,SEXO
Uruguay,Mujer,0.09854436955340208,0.1306381230785667,NA,NA,SEXO
Uruguay,Varon,0.05106913052069105,0.11125633795086072,NA,NA,SEXO
Alemania,Priv,0.032253652287803865,NA,NA,0.019479311101452505,SECTOR
Alemania,Pub,0.012304428323570527,NA,NA,0.012525061015769093,SECTOR
Alemania,SD,0.0833826991081707,NA,NA,0.005295733060072076,SECTOR
Argentina,Priv,0.13032708200465332,0.3496765312723591,0.3496765312723591,0.11896350082574796,SECTOR
Argentina,Pub,0.11306473602557472,0.5175356118659208,0.5175356118659208,0.16507628845484817,SECTOR
Argentina,SD,0.19365243886094158,0.6865940381572486,0.6865940381572486,0.168278288384874,SECTOR
Austria,Priv,0.03145572993716861,NA,NA,0.009137223441818278,SECTOR
Austria,Pub,0.014705198459484833,NA,NA,0.008911088504534585,SECTOR
Austria,SD,0.13136298432738008,NA,NA,0,SECTOR
Bolivia,Priv,0.03999320852931966,0.5599300497981351,0.63990366918851,0.1814858511777985,SECTOR
Bolivia,Pub,0.04887195931370393,0.013154938923378191,0.006569314086350464,0.2678316316661145,SECTOR
Bolivia,SD,0.11161087250119388,0.9010879674573629,NA,NA,SECTOR
Brasil,Priv,0.044683806473157596,0.21834148771029357,0.2584743985128455,NA,SECTOR
Brasil,Pub,0.045678243590834645,0.06980229742515932,NA,NA,SECTOR
Brasil,SD,0.1836471327695269,0.6098100190844871,NA,NA,SECTOR
Bulgaria,Priv,0.008171035368859797,NA,NA,0.02575147153905457,SECTOR
Bulgaria,Pub,0.006971981339512424,NA,NA,0.012818509986482398,SECTOR
Bulgaria,SD,0.1469672953290249,NA,NA,0.213368684870515,SECTOR
Chile,Priv,0.06187595359358287,0.18089297184623135,0.14916119730089897,0.24044380216872546,SECTOR
Chile,Pub,0.03637645955312338,0.10634473965612704,0.01798654474121353,0.39790300347485846,SECTOR
Chile,SD,0.0326180072315026,0.12372731958545062,0.12002372476345616,0.0032376691128636116,SECTOR
China,Priv,NA,0.44850744809022625,0.33081164917420564,0.602964696882886,SECTOR
China,Pub,NA,0.12172511855616648,0.05514393571031932,0.18456594320784167,SECTOR
Colombia,Priv,0.03312523756693767,0.29498012381500277,0.2926392156567011,0.31657761470664475,SECTOR
Colombia,Pub,0.004467674991156823,1.656866873904899e-5,4.1417028284792856e-4,0.05777683008482278,SECTOR
Colombia,Resto,0.04315334046474711,0.8588420101298229,0.8678242872730092,0.23924122360324634,SECTOR
Colombia,SD,0.12278028741880474,0.7934523513225961,0.8579280666382156,0.21760104629043175,SECTOR
Costa Rica,Priv,0.0694751529834816,0.22496640644252364,0.22496640644252364,0.04392179185916148,SECTOR
Costa Rica,Pub,0.031802735217207265,0.0027969316828667166,0.0027969316828667166,0.01619213773405017,SECTOR
Costa Rica,SD,0.3118995904981843,0.8403835750309757,0.8403835750309757,0.07757355150536988,SECTOR
Dinamarca,Priv,0.03258292158133135,NA,NA,0.04170597458877316,SECTOR
Dinamarca,Pub,0.005948993399307595,NA,NA,0.038087395744357655,SECTOR
Dinamarca,SD,0,NA,NA,0.18437698726526064,SECTOR
Ecuador,Priv,0.3471538111092175,0.869157428876889,NA,NA,SECTOR
Ecuador,Pub,0.2646690039731333,0.010378865861196589,NA,NA,SECTOR
Ecuador,SD,0.34486227964428506,0.8545990203906951,NA,NA,SECTOR
El Salvador,Priv,0.3019518624235193,0.41247891256277225,0.518743004983003,0.5718227606440383,SECTOR
El Salvador,Pub,0.09137157036803785,0.2913594009276456,0.0227873044451421,0.04959303163939675,SECTOR
El Salvador,SD,0.429196931856016,0.8507731146174403,0.9931646189667738,0.9945351813364937,SECTOR
España,Priv,0.08766893331514192,NA,NA,0.2192992379456043,SECTOR
España,Pub,0.034598956477105494,NA,NA,0.14458277914836165,SECTOR
España,SD,0.35468499048177027,NA,NA,0.20137614409345492,SECTOR
Estados Unidos,Priv,0.08433256982254712,NA,NA,NA,SECTOR
Estados Unidos,Pub,0.02990275412049212,NA,NA,NA,SECTOR
Estados Unidos,SD,0.19670486005975196,NA,NA,NA,SECTOR
Francia,Priv,0.0711195809401176,NA,NA,0.08810048468671638,SECTOR
Francia,Pub,0.06837562527261426,NA,NA,0.10267754763878202,SECTOR
Francia,SD,0.34912045289356786,NA,NA,0.04465692085867534,SECTOR
Grecia,Priv,0.09030464046215388,NA,NA,0.08657746807901791,SECTOR
Grecia,Pub,0.005342271013721235,NA,NA,0.04014361285422172,SECTOR
Grecia,SD,0.32088511256595426,NA,NA,0.14895404755756406,SECTOR
Guatemala,Priv,0.0220823895082399,0.6071309030741304,0.600143562842664,0.07508193081010141,SECTOR
Guatemala,Pub,0.0012180504828005615,0.16742271832096425,0.07041180359864087,0.18339992659210505,SECTOR
Guatemala,SD,0.05028659418203201,0.918817007114083,0.9591129675152845,0.1106827785603084,SECTOR
Italia,Priv,0.12517928780476176,NA,NA,0.14549166930529667,SECTOR
Italia,Pub,0.03981451559328669,NA,NA,0.05021772423015923,SECTOR
Italia,SD,0.4397507623611717,NA,NA,0.08664757768896333,SECTOR
México,Priv,0.018676084464363685,0.5018911224501786,0.435633741954751,0.5379583744714137,SECTOR
México,Pub,0.006692269040918613,0.2188210069287109,0.058952040658724406,0.19791747336853988,SECTOR
México,SD,0.0493016043623138,0.990071601391555,0.9836783614585013,0.9867150737322298,SECTOR
Noruega,Priv,0.03933079094987068,NA,NA,0.03878961488698576,SECTOR
Noruega,Pub,0.008424594899815499,NA,NA,0.02840573204817709,SECTOR
Noruega,SD,0,NA,NA,0,SECTOR
Paraguay,Priv,0.058632156947566134,0.597522806652255,0.4576146482320046,0.16338933567697958,SECTOR
Paraguay,Pub,0.15428390505605843,0.17689817743566538,0.00612754718026625,0.18516736469295308,SECTOR
Paraguay,SD,0.18355027353329562,0.938692210414527,0.9387416200258318,0.021515356529810063,SECTOR
Países Bajos,Priv,0.03561095942629059,NA,NA,0.05910082886356185,SECTOR
Países Bajos,Pub,0.01681476121278382,NA,NA,0.05018505591398273,SECTOR
Países Bajos,SD,0.0483901045742675,NA,NA,0,SECTOR
Peru,Priv,0.05932753170381956,0.4329397311077791,0.45838900578478997,0.366130321584098,SECTOR
Peru,Pub,0.06543236950426223,0.11077398459063753,0.006760594972673701,0.37130875470231745,SECTOR
Peru,SD,0.09525052384830615,0.82348562863817,0.9843218247925789,0.015678175207421142,SECTOR
Polonia,Priv,0.011531386119411154,NA,NA,0.13339014877718333,SECTOR
Polonia,Pub,0.005203923956215867,NA,NA,0.05321692455821102,SECTOR
Polonia,SD,0.06633437325795973,NA,NA,0.229877980556929,SECTOR
