PAIS,categoria,casos_pond,variable_interes,particip.ocup
Suecia,Primaria,660911.9525,EDUC,0.12960835261052348
Suecia,Secundaria,2759046.7525,EDUC,0.5410637574555586
Suecia,Terciaria,1679341.9125,EDUC,0.32932788993391804
Uruguay,Primaria,1485465,EDUC,0.9999360510514553
Uruguay,Terciaria,95,EDUC,6.394894854465656e-5
Alemania,Grande,19850682.3975,TAMA,0.5128542641501949
Alemania,Mediano,11099042.75,TAMA,0.28675041433536214
Alemania,Pequeño,7756558.07,TAMA,0.20039532151444295
Argentina,Grande,12403793,TAMA,0.30988277221897054
Argentina,Mediano,5608885,TAMA,0.14012623661628348
Argentina,Pequeño,22014694,TAMA,0.5499909911647459
Austria,Grande,1745251.785,TAMA,0.4350918102332251
Austria,Mediano,1217122.9225,TAMA,0.3034291213327012
Austria,Pequeño,1048851.76,TAMA,0.26147906843407365
Bolivia,Grande,1037844.4709649788,TAMA,0.07130091394819321
Bolivia,Mediano,2177772.976604901,TAMA,0.14961509932141492
Bolivia,Pequeño,11340219.406345766,TAMA,0.7790839867303919
Brasil,Grande,80054960.32130498,TAMA,0.26505419368402383
Brasil,Mediano,36570530.32330327,TAMA,0.1210814718855173
Brasil,Pequeño,185406932.26713797,TAMA,0.613864334430459
Bulgaria,Grande,781062.56,TAMA,0.3345070005422691
Bulgaria,Mediano,960489.36,TAMA,0.41135042353888235
Bulgaria,Pequeño,593414.34,TAMA,0.25414257591884865
Chile,Grande,3789762.584985675,TAMA,0.480903759993991
Chile,Mediano,1123219.5740928296,TAMA,0.1425314922417845
Chile,Pequeño,2967518.8896823307,TAMA,0.3765647477642245
China,Grande,39754735.620904125,TAMA,0.41416429609011907
China,Mediano,27472898.874775276,TAMA,0.28621228757570477
China,Pequeño,28760204.137938086,TAMA,0.2996234163341761
Colombia,Grande,55088061.04578578,TAMA,0.26188235510992786
Colombia,Mediano,18469608.181871474,TAMA,0.0878024093933165
Colombia,Pequeño,136796560.337225,TAMA,0.6503152354967556
Costa Rica,Grande,367748,TAMA,0.2330222340221282
Costa Rica,Mediano,477191,TAMA,0.3023704082014134
Costa Rica,Pequeño,733228,TAMA,0.4646073577764584
Dinamarca,Grande,1302472.9625,TAMA,0.5149939554814108
Dinamarca,Mediano,740757.1175,TAMA,0.29289317243108093
Dinamarca,Pequeño,485873.3175,TAMA,0.19211287208750824
Ecuador,Grande,367468.8865184345,TAMA,0.0354772249648945
Ecuador,Mediano,482065.1674488827,TAMA,0.04654090460653351
Ecuador,Pequeño,9508347.287711833,TAMA,0.9179818704285719
El Salvador,Grande,145789.91356416277,TAMA,0.10226974740630167
El Salvador,Mediano,192452.973491898,TAMA,0.13500328318629462
El Salvador,Pequeño,1087300.0253065003,TAMA,0.7627269694074037
España,Grande,5470472.24,TAMA,0.37410804458461555
España,Mediano,3759886.56,TAMA,0.25712657831192587
España,Pequeño,5392347.98,TAMA,0.3687653771034585
Estados Unidos,Grande,110640235.32,TAMA,0.6599149613487758
Estados Unidos,Mediano,22867366.37,TAMA,0.13639267080878123
Estados Unidos,Pequeño,34150720.67,TAMA,0.203692367842443
Francia,Grande,11792320.07,TAMA,0.5104665427612606
Francia,Mediano,4708447.7,TAMA,0.20381952024061784
Francia,Pequeño,6600295.83,TAMA,0.2857139369981216
Grecia,Grande,645266.9725,TAMA,0.24384529593851226
Grecia,Mediano,719578.9875,TAMA,0.27192768053547406
Grecia,Pequeño,1281368.6,TAMA,0.4842270235260137
Guatemala,Grande,1207691,TAMA,0.16273292561539363
Guatemala,Mediano,1261925,TAMA,0.17004080278581657
Guatemala,Pequeño,4951691,TAMA,0.6672262715987898
Italia,Grande,6058577.175,TAMA,0.3360098961515398
Italia,Mediano,5029314.775,TAMA,0.2789267985616037
Italia,Pequeño,6943056.675,TAMA,0.38506330528685645
México,Grande,10733529,TAMA,0.2606955060913471
México,Mediano,6718730,TAMA,0.16318423489992123
México,Pequeño,23720407,TAMA,0.57612025900873165
Noruega,Grande,850235.48,TAMA,0.3743371186517741
Noruega,Mediano,835420.505,TAMA,0.367814460888306
Noruega,Pequeño,585653.585,TAMA,0.25784842045991996
Paraguay,Grande,1303712,TAMA,0.17166277509144312
Paraguay,Mediano,1399520,TAMA,0.18427803609691135
Paraguay,Pequeño,4891379,TAMA,0.6440591888116455
Países Bajos,Grande,3866925.64,TAMA,0.5277876570962975
Países Bajos,Mediano,2179366.22,TAMA,0.29745660979625516
Países Bajos,Pequeño,1280377.47,TAMA,0.17475573310744733
Peru,Grande,13626862.79347992,TAMA,0.25071136846969566
Peru,Mediano,4795732.250617981,TAMA,0.08823341172422874
Peru,Pequeño,35930196.680729866,TAMA,0.6610552198060756
Polonia,Grande,6035420.2275,TAMA,0.4751968629459147
Polonia,Mediano,3181003.915,TAMA,0.25045531619143135
Polonia,Pequeño,3484459.845,TAMA,0.27434782086265397
Portugal,Grande,1642578.2425,TAMA,0.40892986301500883
Portugal,Mediano,948005.0525,TAMA,0.23601163477383713
Portugal,Pequeño,1426189.24,TAMA,0.3550585022111539
Reino Unido,Grande,14329978.97,TAMA,0.5150822051072795
Reino Unido,Mediano,8076924.48,TAMA,0.2903200402703289
Reino Unido,Pequeño,5413857.64,TAMA,0.1945977546223916
Rumanía,Grande,2683938.025,TAMA,0.42849988103225944
Rumanía,Mediano,2128808.1325,TAMA,0.33987149592128024
Rumanía,Pequeño,1450821.5675,TAMA,0.2316286230464603
Suecia,Grande,1859470.0075,TAMA,0.42536126999171886
Suecia,Mediano,1492265.92,TAMA,0.34136185275177705
Suecia,Pequeño,1019771.6325,TAMA,0.23327687725650417
Uruguay,Grande,591398,TAMA,0.38590130837560055
Uruguay,Mediano,214860,TAMA,0.14020127751122177
Uruguay,Pequeño,726253,TAMA,0.47389741411317765
Alemania,Alta,19003312.445,CALIF,0.45278660478232263
Alemania,Baja,3293613.62,CALIF,0.07847600952627577
Alemania,Media,19672761.74,CALIF,0.4687373856914016
Argentina,Alta,11925767,CALIF,0.263088355403795
Argentina,Baja,7599525,CALIF,0.16764930373870504
Argentina,Media,25804601,CALIF,0.5692623408574999
Austria,Alta,1808008.6675,CALIF,0.4197765668208007
Austria,Baja,355831.5925,CALIF,0.08261562400171857
Austria,Media,2143233.575,CALIF,0.49760780917748076
Bolivia,Alta,2934419.985909607,CALIF,0.1968715382290653
Bolivia,Baja,1215229.9793525073,CALIF,0.08153031825232844
Bolivia,Media,10755602.527331967,CALIF,0.7215981435186062
Brasil,Alta,87548782.02091862,CALIF,0.23653027328007828
Brasil,Baja,63464239.68106266,CALIF,0.17146113982131023
Brasil,Media,219124723.48740968,CALIF,0.5920085868986115
Bulgaria,Alta,998735.88,CALIF,0.318858951094477
Bulgaria,Baja,351975.84,CALIF,0.11237269973018038
Bulgaria,Media,1781506.7,CALIF,0.5687683491753426
Chile,Alta,2672105.168390452,CALIF,0.329552034551611
Chile,Baja,1468626.6602763247,CALIF,0.18112644278231463
Chile,Media,3967563.336393037,CALIF,0.48932152266607437
China,Alta,22740480.504344724,CALIF,0.2250922385505987
China,Baja,17180829.01344279,CALIF,0.17006110587909712
China,Media,61106076.636324,CALIF,0.6048466555703041
Colombia,Alta,48251095.49061564,CALIF,0.2346551714305309
Colombia,Baja,68560985.45776434,CALIF,0.33342641514049814
Colombia,Media,88813455.43533556,CALIF,0.43191841342897097
Costa Rica,Alta,417455,CALIF,0.26369981346359506
Costa Rica,Baja,338919,CALIF,0.21408984699972017
Costa Rica,Media,826695,CALIF,0.5222103395366847
Dinamarca,Alta,1348727.415,CALIF,0.47476497508168164
Dinamarca,Baja,317519.6275,CALIF,0.11176995170516522
Dinamarca,Media,1174584.7075,CALIF,0.4134650732131532
Ecuador,Alta,830860.0750212038,CALIF,0.07524153057208308
Ecuador,Baja,3064688.325122963,CALIF,0.27753390401237027
Ecuador,Media,7147024.347963625,CALIF,0.6472245654155467
El Salvador,Alta,157552.2325636701,CALIF,0.09899005345723319
El Salvador,Baja,162182.8000239216,CALIF,0.101899438573324
El Salvador,Media,1271861.5678904313,CALIF,0.7991105079694427
España,Alta,6545089.21,CALIF,0.340194052920587
España,Baja,2483497.89,CALIF,0.12908475125564045
España,Media,10210694.58,CALIF,0.5307211958237725
Estados Unidos,Alta,81376214.86,CALIF,0.4874125620426117
Estados Unidos,Baja,18760325.34,CALIF,0.1123672101787204
Estados Unidos,Media,66818973.87,CALIF,0.40022022777866795
Francia,Alta,12476469.87,CALIF,0.46617372318466777
Francia,Baja,2578357.52,CALIF,0.09633835029648387
Francia,Media,11708735.74,CALIF,0.43748792651884844
Grecia,Alta,1150083.8125,CALIF,0.3056131946539403
Grecia,Baja,261683.7375,CALIF,0.06953754338348113
Grecia,Media,2351433.23,CALIF,0.6248492619625786
Guatemala,Alta,912095,CALIF,0.1229485932951199
Guatemala,Baja,1239377,CALIF,0.1670655564522619
Guatemala,Media,5267035,CALIF,0.7099858502526182
Italia,Alta,8444446.125,CALIF,0.367607722102095
Italia,Baja,2563787.5,CALIF,0.11160804022878706
Italia,Media,11963117.675,CALIF,0.5207842376691179
México,Alta,9984211,CALIF,0.23224631993082817
México,Baja,7405160,CALIF,0.17225408782917062
México,Media,25600378,CALIF,0.5954995922400013
Noruega,Alta,1391907.375,CALIF,0.5227063595182536
Noruega,Baja,96676.7625,CALIF,0.03630525959127547
Noruega,Media,1174301.725,CALIF,0.4409883808904708
Paraguay,Alta,2214581,CALIF,0.2549592920484392
Paraguay,Baja,1742591,CALIF,0.2006202381804873
Paraguay,Media,4728846,CALIF,0.5444204697710735
Países Bajos,Alta,4237759.21,CALIF,0.4884751305307548
Países Bajos,Baja,765295.52,CALIF,0.08821356063470201
Países Bajos,Media,3672431.38,CALIF,0.4233113088345432
Peru,Alta,11452371.007911682,CALIF,0.2086180527367391
Peru,Baja,14319411.6951828,CALIF,0.26084448208331756
Peru,Media,29124573.857014656,CALIF,0.5305374651799434
Polonia,Alta,6510624.39,CALIF,0.39996561153941274
Polonia,Baja,1005831.8,CALIF,0.06179102139737911
Polonia,Media,8761504.22,CALIF,0.5382433670632082
Portugal,Alta,1743199.515,CALIF,0.35998051012275717
Portugal,Baja,483342.5925,CALIF,0.09981296547814032
Portugal,Media,2615940.9325,CALIF,0.54020652439910255
Reino Unido,Alta,15734807.45,CALIF,0.48868518879265066
Reino Unido,Baja,2808439.69,CALIF,0.08722336669715164
Reino Unido,Media,13655001.98,CALIF,0.42409144451019765
Rumanía,Alta,2024240.1099999999,CALIF,0.23486374001297322
Rumanía,Baja,823932.8425,CALIF,0.09559732956238577
Rumanía,Media,5770612.1775,CALIF,0.669538930424641
Suecia,Alta,2733314.07,CALIF,0.5370479553061926
Suecia,Baja,242110.2025,CALIF,0.047570380088590866
Suecia,Media,2114091.5575,CALIF,0.4153816646052165
Uruguay,Alta,360177,CALIF,0.2350240879184554
Uruguay,Baja,274458,CALIF,0.17909039478346322
Uruguay,Media,887163,CALIF,0.5788950291384531
Uruguay,Ns/Nc,10713,CALIF,0.006990488159628218
